CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
,,,Jayangar East,560069,BO,Delivery,Bangalore,KARNATAKA,12.9301527,77.5877188
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Peddakotla B.O,515631,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,14.5689,77.85624
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Obulareddipalli B.O,515581,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,14.2488,78.2588
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Gurrambailu B.O,515571,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,13.9226755,78.2011756
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Hallikera Devarahalli B.O,515311,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,13.805102,77.043902
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Tammadehalli B.O,515281,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,14.128106,76.980106
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Bussaiahgaripalli B.O,515241,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,13.96,77.68
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Kavuluru BO,534176,BO,Delivery,WEST GODAVARI,ANDHRA PRADESH,16.6286,80.5841
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Kathrang BO,813105,BO,Delivery,BANKA,BIHAR,84.527,24.239
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Kasri BO,813203,BO,Delivery,BHAGALPUR,BIHAR,87.2628853,25.2987632
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Akidatpur BO,853202,BO,Delivery,BHAGALPUR,BIHAR,25.366,84.258
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Barani BO,813222,BO,Delivery,BHAGALPUR,BIHAR,24.623,84.714
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Baluachak BO,812005,BO,Delivery,BHAGALPUR,BIHAR,25.369,86.369
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Bharakhand Naybas BO,853203,BO,Delivery,BHAGALPUR,BIHAR,25.4067,6.8052
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Dariapur BO,812006,BO,Delivery,BHAGALPUR,BIHAR,24.222,86.365
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Bhowadeorhi BO,853204,BO,Delivery,MADHEPURA,BIHAR,25.2153,86.9362
Bihar Circle,"East Region, Bhagalpur",Bhagalpur Division,Amapali BO,813209,BO,Delivery,BHAGALPUR,BIHAR,25.3285,87.5132
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Palavalasa B.O,530052,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.89,83.34
Andhra Pradesh Circle,Kurnool Region,Anantapur Division,Sreedharghatta B.O,515871,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,14.95,76.41
Andhra Pradesh Circle,Kurnool Region,Anantapur Division,N.Thimmapuram B.O,515842,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,15.67,77.41
